time,latitude,longitude,depth,M,Mw,strike1,dip1,slip1,strike2,dip2,slip2
53:36.1,34:28.8,139:18.2,12km,4.7,4.5,91,79,156,186,67,12
36:33.2,37:50.8,142:32.0,42km,4.7,4.7,121,44,122,260,54,63
35:52.7,24:42.5,122:00.6,77km,4.7,4.9,59,37,136,187,65,62
24:37.7,25:35.8,124:22.4,157km,4.9,4.9,15,64,-53,136,44,-141
39:42.0,43:38.2,139:59.1,235km,6,6,110,66,-98,309,25,-72
28:12.6,25:14.7,124:18.3,128km,4.5,4.7,28,82,-54,129,36,-167
40:07.0,42:27.0,143:15.3,53km,4.6,4.6,74,69,122,194,38,37
38:17.8,33:53.4,137:17.1,364km,5.3,5.2,30,22,141,157,77,73
10:58.4,22:33.8,121:23.0,26km,5,5.1,340,40,27,228,73,126
39:17.6,42:20.8,142:43.6,111km,4.6,4.6,151,23,-10,251,86,-113
24:05.1,42:06.8,144:52.2,11km,5.1,4.8,339,76,74,208,21,137
25:38.6,23:26.7,123:37.6,50km,5.4,5.2,48,80,149,144,60,12
05:57.7,23:29.0,123:38.2,52km,5.1,4.9,45,62,169,140,80,29
06:52.8,42:42.6,142:01.2,128km,5.4,5.3,126,32,-15,230,82,-121
14:03.7,21:42.4,121:54.4,17km,5.4,5.5,245,71,-163,149,74,-20
36:02.6,24:35.6,122:33.2,112km,5.2,5.3,120,86,111,220,21,10
24:00.8,42:21.3,144:58.1,20km,5.1,5,33,66,74,248,28,122
58:02.9,24:17.9,122:00.3,40km,5.5,5.2,82,64,32,338,62,151
39:26.0,29:58.7,131:14.2,24km,4.7,4.9,31,59,81,228,32,105
07:57.8,31:29.0,140:51.2,39km,5.3,5.2,354,51,-94,180,39,-86
46:32.6,24:55.5,122:44.0,27km,4.9,4.8,93,30,-101,286,61,-84
07:50.5,37:43.7,141:41.9,55km,7.3,7.1,32,37,107,191,55,78
25:28.4,39:05.1,142:24.4,47km,5.1,5.2,40,15,115,195,76,84
31:50.2,37:31.0,141:25.7,50km,5.2,5.2,22,62,86,211,29,97
26:04.7,37:31.1,141:29.4,48km,5.5,5.4,18,62,91,197,28,89
38:49.8,22:26.2,121:26.9,19km,4.7,5.1,359,48,56,225,52,122
16:27.5,40:42.3,142:49.4,34km,5,5,29,74,100,176,19,58
23:28.6,43:16.2,146:45.2,68km,5,4.9,58,62,86,246,29,98
03:49.6,37:45.5,141:42.9,55km,4.8,4.6,332,42,47,203,61,121
30:13.7,30:03.0,131:19.3,27km,4.8,4.8,34,58,91,213,32,89
54:06.4,42:06.5,144:24.1,20km,4.6,4.5,20,77,105,151,20,42
22:47.6,43:53.1,147:28.0,0km,5.9,5.8,25,74,76,247,21,130
29:58.9,38:45.6,141:35.5,76km,4.9,4.9,87,38,171,184,84,53
26:59.3,40:05.1,137:54.0,289km,4.9,4.8,6,36,33,248,71,121
16:54.8,40:08.0,142:24.5,40km,4.6,4.6,25,72,107,161,25,49
56:18.1,36:09.2,139:49.1,54km,4.9,4.8,224,55,20,122,74,143
28:49.5,37:41.7,141:36.8,57km,5.2,5,340,40,70,185,53,106
26:25.4,40:07.6,142:24.5,39km,4.8,4.7,27,73,100,176,20,60
09:44.8,38:28.0,141:37.6,59km,6.9,7,22,71,96,183,20,72
02:14.9,26:04.6,125:02.4,152km,6.2,6,12,89,-69,106,21,-176
26:55.8,33:39.1,140:25.1,55km,5.6,5.8,61,56,58,290,45,129
30:03.8,41:30.7,142:04.7,55km,4.7,5,27,64,97,192,27,76
58:26.5,38:54.2,142:04.3,45km,4.5,4.5,145,28,-35,267,74,-113
31:48.2,33:32.1,140:29.1,56km,4.6,4.7,160,35,-8,257,85,-124
07:30.2,29:18.9,129:25.4,22km,5.3,5.3,8,72,-162,272,73,-19
52:09.8,29:19.0,129:18.3,19km,4.5,5,2,79,-171,270,81,-11
10:37.9,29:18.4,129:20.7,20km,4.6,4.9,6,81,-155,272,65,-10
40:36.8,29:19.5,129:23.3,20km,4.6,4.8,5,79,-154,270,64,-12
01:47.6,29:18.0,129:20.7,14km,5.3,5.2,10,75,-163,275,74,-15
29:11.2,38:19.0,141:51.8,48km,5.8,5.7,24,62,96,192,28,80
39:58.6,36:18.6,138:36.7,165km,4.6,4.7,38,89,-54,129,36,-179
27:26.9,38:10.4,141:44.4,51km,6.8,6.8,24,71,96,186,20,74
07:31.2,25:36.9,123:51.2,192km,5.7,5.5,94,66,-121,329,38,-42
10:46.1,37:11.6,141:40.2,36km,5.1,4.8,145,29,153,259,77,64
19:07.6,32:05.5,140:35.0,79km,4.9,4.8,10,42,79,204,49,99
46:56.7,32:35.5,141:13.5,23km,4.6,4.9,4,64,95,173,27,80
58:14.2,37:41.9,141:45.7,46km,6.3,6,19,67,89,201,23,91
46:51.2,42:29.4,142:35.6,20km,4.6,4.6,338,24,109,137,67,82
23:54.1,42:06.0,144:28.4,8km,6.1,5.8,339,76,60,226,33,153
04:02.4,40:27.4,143:12.8,32km,4.8,4.7,247,83,166,338,76,7
00:33.5,24:55.3,122:44.9,25km,4.8,4.8,67,43,-115,279,52,-69
18:10.1,24:58.1,122:37.4,27km,4.9,4.9,65,43,-113,275,51,-70
21:06.7,36:21.0,141:51.7,24km,5.3,5.2,23,72,95,189,19,76
04:51.7,36:21.6,141:51.2,28km,5,4.8,24,71,91,200,19,86
02:43.1,36:20.5,141:50.0,32km,5.7,5.5,20,65,88,205,25,94
10:41.2,42:02.7,142:39.1,63km,4.9,5,23,63,83,218,28,103
33:26.4,27:08.1,140:11.2,546km,5.4,5.5,67,39,-150,312,72,-55
04:44.9,33:12.5,142:32.5,60km,5,5.2,348,44,-82,157,47,-98
43:06.5,40:07.8,142:27.3,39km,4.7,4.7,23,69,107,163,27,53
11:06.9,34:34.4,140:13.6,93km,5.1,5,35,28,-55,177,68,-107
19:16.7,37:48.5,141:37.6,75km,4.9,4.6,112,53,-55,242,50,-127
29:02.8,36:26.1,142:59.3,23km,5.2,5.3,53,66,-74,199,29,-121
34:22.2,39:51.8,142:16.7,33km,4.9,4.8,90,59,-94,278,32,-83
05:55.1,40:05.4,142:25.7,38km,5,5,22,66,96,187,25,76
56:02.8,40:59.6,142:24.9,47km,4.6,4.5,29,71,101,178,21,60
12:47.6,23:52.7,121:34.4,0km,5,4.9,65,47,115,210,48,66
33:25.4,23:52.4,121:31.9,7km,5.3,5.3,65,50,120,203,48,59
39:13.3,33:27.6,132:30.8,42km,4.7,4.7,325,47,-112,175,47,-69
08:24.4,43:28.6,142:41.0,158km,5.4,5.4,65,54,176,158,86,36
55:48.6,31:43.7,131:49.2,41km,4.7,4.9,48,12,-66,204,79,-95
18:09.0,39:31.9,140:27.9,130km,4.5,4.6,278,24,4,184,88,114
55:33.2,28:08.3,128:05.4,14km,4.8,4.7,86,65,-1,176,89,-155
02:32.2,37:10.4,135:04.4,384km,4.6,4.8,252,37,-7,348,86,-127
23:44.9,37:10.4,143:43.4,32km,5.2,5.3,32,55,-77,190,37,-108
30:20.6,45:35.4,151:30.2,30km,6.2,5.7,304,14,37,177,81,101
52:04.2,23:56.1,121:37.8,0km,5.5,5.2,20,54,72,229,39,113
29:25.6,23:57.2,121:38.1,0km,4.7,4.6,11,51,66,226,44,117
19:56.9,33:16.2,139:28.8,16km,5.4,5.4,22,55,-45,141,54,-136
50:00.7,33:38.3,131:51.3,76km,5.1,5.2,40,57,28,295,67,144
03:38.8,26:36.9,129:52.5,47km,4.8,4.9,72,72,-63,193,33,-144
16:16.2,41:28.7,142:08.2,52km,5.2,5.2,24,62,96,192,28,79
19:21.1,37:20.3,141:20.5,81km,4.5,4.4,19,41,-93,202,50,-88
37:49.9,34:36.1,136:40.8,359km,4.9,4.9,43,90,-134,313,44,0
09:44.6,33:47.8,134:37.9,45km,4.5,4.5,34,57,-19,134,74,-146
26:05.8,43:17.8,141:46.2,176km,5.1,5,47,87,116,142,26,6
28:54.7,43:50.5,148:25.8,0km,5.5,5.4,47,73,88,235,17,98
35:31.4,36:12.3,141:52.0,5km,4.7,4.7,23,76,96,181,15,69
29:19.0,36:12.0,141:48.3,17km,5.1,5,24,67,93,195,23,82
33:36.8,36:12.3,141:48.3,18km,6,5.8,19,68,89,201,22,92
43:13.2,36:11.6,141:54.5,6km,5.4,5.2,35,78,107,160,21,37
56:26.9,36:15.5,141:50.4,18km,5.1,4.8,22,67,92,198,23,86
40:26.6,36:09.8,141:44.8,21km,5.7,5.4,19,69,75,235,26,123
50:46.2,24:44.0,122:20.8,55km,6.3,5.9,103,31,-70,260,61,-101
11:04.7,24:43.5,122:14.4,50km,5.6,5.4,102,19,-76,267,72,-95
12:29.8,23:09.7,121:24.5,8km,5.2,5.3,38,57,84,229,33,99
55:41.1,36:02.8,142:27.9,14km,5.3,5.2,26,71,83,228,20,110
18:15.2,29:43.6,141:37.7,52km,5.4,5.2,138,56,-65,277,41,-123
49:05.8,36:25.1,141:05.7,40km,5.1,5.1,20,64,65,247,36,131
14:22.9,48:58.8,147:38.4,628km,5.9,5.8,30,27,111,186,65,80
00:26.2,23:58.1,122:11.7,75km,5.2,5.2,357,48,84,186,43,97
11:49.9,29:24.7,142:21.3,40km,5.6,5.4,357,74,107,128,23,44
17:04.4,33:07.3,132:04.0,45km,4.2,4.2,202,83,-62,306,29,-164
32:24.4,46:31.1,147:15.0,399km,5.2,5.3,32,81,-110,279,22,-25
32:01.8,29:58.2,139:27.2,454km,5.1,5,17,26,-152,262,78,-67
46:05.9,32:27.6,137:59.7,385km,6,5.8,72,24,-179,341,90,-66
42:30.2,37:30.3,137:18.0,13km,5.1,4.9,30,37,98,200,53,84
18:30.4,36:20.7,137:37.4,0km,5.3,5.1,186,77,-6,277,84,-166
04:17.6,36:17.2,137:37.9,4km,4.7,4.6,259,85,-154,166,64,-6
25:27.6,45:40.2,152:33.6,30km,6.6,6.2,323,54,46,202,54,134
19:54.3,29:42.3,142:47.0,44km,5.8,5.3,355,71,91,172,19,87
21:19.9,24:19.8,121:43.6,39km,5,4.9,96,63,-40,207,55,-147
26:38.3,36:38.8,141:06.3,50km,4.8,4.7,24,44,100,190,47,81
37:04.5,38:47.8,135:39.0,394km,6.1,6.2,22,77,-102,246,18,-47
30:27.4,25:43.4,124:59.4,24km,5.5,5.3,59,38,-91,241,52,-89
46:02.3,40:00.4,142:15.2,56km,5.9,5.7,72,43,111,224,51,71
03:43.3,25:42.1,124:58.7,29km,5.4,5.2,77,47,-70,229,47,-110
12:55.3,31:14.7,131:28.8,43km,5.4,5.5,54,86,22,322,68,175
41:23.0,35:35.4,140:06.2,75km,5.9,6,360,55,87,185,35,94
31:58.7,39:59.2,142:14.7,54km,4.7,4.5,66,44,115,214,51,68
16:15.9,42:21.3,143:06.6,51km,4.7,4.8,37,59,81,235,32,105
32:07.8,29:29.4,130:42.2,52km,4.8,5,42,55,90,222,35,90
59:48.1,28:37.9,138:36.6,585km,5.2,5.1,350,45,142,109,64,52
36:39.5,41:32.5,142:54.3,38km,5.4,5.3,135,47,-52,265,55,-124
36:45.5,32:10.8,138:27.0,356km,5.6,5.5,122,25,171,220,86,65
11:33.4,24:28.6,121:43.6,73km,6.3,6.3,59,26,132,193,71,72
27:54.8,37:14.6,142:10.3,23km,5,4.7,325,87,83,213,8,158
35:41.0,33:16.5,135:40.1,20km,5,4.8,78,68,88,264,23,95
14:46.4,36:27.6,140:36.7,57km,5.3,5.2,17,61,93,191,29,85
35:56.0,37:03.8,141:11.8,49km,4.8,4.7,16,67,84,211,23,103
